gene_name	gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MIR106AHG	ENSG00000283638.4	107.7702	4.059401	0.58420783	5.71401E-17	1.137031E-12
MIR100HG	ENSG00000255248.11	5411.327	1.94208	0.24734767	3.149452E-16	3.133547E-12
LINC00294	ENSG00000280798.1	1007.891	1.358004	0.17725871	2.285814E-15	1.516181E-11
SLC24A2	ENSG00000155886.13	2075.197	6.183523	0.93381118	1.059595E-14	4.216978E-11
MIRLET7BHG	ENSG00000197182.17	1016.655	1.979313	0.26791814	1.010225E-14	4.216978E-11
DMTN	ENSG00000158856.19	252.6217	-4.095533	0.67702764	2.376624E-14	7.882073E-11
MIR9-2HG	ENSG00000245526.14	1553.249	2.60733	0.37965288	5.983865E-14	1.701042E-10
WASF3	ENSG00000132970.15	443.0296	-3.23145	0.50074719	8.123856E-14	2.020708E-10
TCP11L1	ENSG00000176148.17	1606.798	1.181965	0.16860686	1.050711E-13	2.323122E-10
FAM151B-DT	ENSG00000249042.7	92.20854	-1.816086	0.25638176	1.396961E-13	2.779813E-10
PANK2	ENSG00000125779.24	1435.996	0.7817951	0.12202459	1.264139E-12	0.000000002286828
CFI	ENSG00000205403.16	1369.539	-3.155491	0.53612624	3.735086E-12	0.000000006193706
MIR193BHG	ENSG00000262454.5	103.3405	3.448411	0.62827612	9.075739E-12	0.00000001389216
ENSG00000296343	ENSG00000296343.1	442.8551	2.222694	0.3635751	2.917433E-11	0.00000004146714
RHOD	ENSG00000173156.8	32.96693	-3.042883	0.54943814	4.367238E-11	0.00000005793578
MACROH2A2	ENSG00000099284.15	212.633	-1.915009	0.31170309	5.641809E-11	0.00000007016648
C4A	ENSG00000244731.11	3690.941	-3.418169	0.6759231	1.011241E-10	0.0000001183687
MIRLET7IHG	ENSG00000257354.2	888.8455	1.850333	0.30861028	1.581736E-10	0.0000001748609
PLIN4	ENSG00000167676.6	72.63393	-5.367631	1.20986781	1.715213E-10	0.000000179637
NRAS	ENSG00000213281.6	2306.552	0.8554347	0.15530232	2.843544E-10	0.0000002712797
ENSG00000290927	ENSG00000290927.2	143.5967	-1.908084	0.32484411	2.862895E-10	0.0000002712797
SMCO3	ENSG00000179256.3	967.9415	3.156999	0.62647501	3.533906E-10	0.0000003196418
ENSG00000267175	ENSG00000267175.6	43.04027	-2.778846	0.52596719	4.967225E-10	0.0000004297514
TMEM41A	ENSG00000163900.12	561.3105	0.5524492	0.09637798	7.612E-10	0.0000006311299
WBP11	ENSG00000084463.9	3355.548	1.108841	0.20556612	0.000000001333816	0.000001061664
PLAG1	ENSG00000181690.9	787.9327	1.63313	0.29069924	0.000000001743077	0.000001334057
GPX3	ENSG00000211445.13	3126.212	-2.878107	0.5821837	0.00000000183126	0.000001349639
SNPH	ENSG00000101298.16	94.43941	-2.100836	0.3858414	0.000000001949772	0.000001385661
CCNYL2	ENSG00000290445.2	108.7637	2.843423	0.57488869	0.000000002079481	0.000001426883
IL17RE	ENSG00000163701.20	266.5043	-2.626947	0.5162078	0.000000002343308	0.000001554316
ENSG00000289755	ENSG00000289755.2	64.91334	-2.558	0.50784535	0.000000003860221	0.000002477888
GRIN2A	ENSG00000183454.19	533.8776	3.247202	0.73731821	0.000000004372501	0.000002719012
TWIST2	ENSG00000233608.6	129.2224	-2.503062	0.50202418	0.000000005969261	0.000003599464
TMEM139	ENSG00000178826.12	117.3635	2.78205	0.58981325	0.000000007649259	0.000004414987
XPOT	ENSG00000184575.13	6136.596	0.9610194	0.19463798	0.000000007765443	0.000004414987
CHODL	ENSG00000154645.14	45.86151	-2.864097	0.62776868	0.000000010915	0.000006033266
TCN2	ENSG00000185339.11	351.2486	-2.01993	0.39294094	0.00000001141172	0.000006137347
ERICH3	ENSG00000178965.14	358.0596	3.61928	0.95308252	0.00000001279241	0.000006698845
SOCS1	ENSG00000185338.8	95.70612	-2.166606	0.43602497	0.00000001807319	0.000009221497
UST	ENSG00000111962.9	2353.018	1.517546	0.29599764	0.00000002001015	0.000009711755
RAP2C	ENSG00000123728.11	1447.317	0.631724	0.12652623	0.00000001967992	0.000009711755
CFAP184	ENSG00000173013.6	18.47716	-1.640732	0.32192177	0.00000002410389	0.00001142008
CMTM6	ENSG00000091317.9	5093.547	1.136031	0.23455138	0.00000002513308	0.00001163077
SERPINA3	ENSG00000196136.19	5052.034	-2.846906	0.65207125	0.00000002635141	0.00001191743
